,T0,T1,T2,E_3
T0,-0.96,-0.69,0.41,0.56
T1,-0.09,-1.84,0.01,-0.0
T2,-0.81,0.45,-2.11,0.12
E_3,-0.56,-0.35,-0.09,-1.72
