,T0,T1,T2,B_0
T0,-0.84,-1.05,0.19,-0.15
T1,0.16,-1.9,0.0,0.0
T2,-0.3,0.36,-2.2,0.14
B_0,-0.01,0.4,-0.3,-1.64
