,T0,T1,T2,C_1
T0,-0.82,-0.82,0.33,-0.59
T1,0.07,-1.88,0.04,-0.01
T2,-0.44,0.35,-2.18,0.23
C_1,-0.55,0.35,-0.35,-1.68
