,T0,T1,T2,B_1
T0,-0.8,-0.01,0.03,-0.17
T1,-1.48,-1.77,-0.31,0.13
T2,0.0,0.76,-2.09,-0.12
B_1,-0.09,0.21,-0.05,-0.05
