,T0,T1,T2,C_3
T0,-0.84,-0.04,-0.05,-0.02
T1,-1.46,-1.79,-0.71,0.25
T2,0.1,0.99,-2.01,-0.62
C_3,-1.01,-0.08,0.39,-0.25
