,T0,T1,T2,B_1
T0,-0.71,-0.79,0.22,0.0
T1,0.02,-1.75,-0.54,-0.85
T2,-0.05,0.95,-2.31,0.42
B_1,-0.0,0.81,-0.86,-0.05
