,T0,T1,T2,E_3
T0,-0.81,-0.95,0.37,0.75
T1,-0.25,-2.04,-0.0,0.15
T2,-0.24,0.78,-2.05,0.36
E_3,-0.0,-0.61,0.17,-1.72
