,T0,T1,T2,D_0
T0,-0.73,-1.33,0.19,0.21
T1,-0.0,-2.08,-0.0,-0.01
T2,0.06,0.71,-2.14,0.23
D_0,0.15,0.51,-0.0,-0.99
