,T0,T1,T2,A_0
T0,-0.71,-1.25,0.31,0.05
T1,0.0,-2.05,0.0,-0.71
T2,0.05,0.78,-2.05,-0.59
A_0,-0.26,0.0,-0.48,-2.44
