,T0,T1,T2,C_1
T0,-0.66,-0.91,0.37,-0.87
T1,-0.15,-2.04,-0.23,0.15
T2,-0.0,0.9,-2.07,-0.12
C_1,-0.2,-0.26,0.02,-1.85
