,T0,T1,T2,B_1
T0,-0.79,-0.72,0.13,-0.09
T1,-0.26,-1.95,-0.0,0.0
T2,-0.01,0.56,-2.2,0.22
B_1,0.01,0.35,-0.55,-0.05
