,T0,T1,T2,A_0
T0,-0.85,-0.22,-0.01,-0.0
T1,-0.85,-1.9,0.61,-0.12
T2,0.16,0.21,-2.04,-0.97
A_0,-0.12,-0.46,-0.26,-2.4
