,T0,T1,T2,C_0
T0,-0.77,-0.77,0.14,-0.53
T1,-0.21,-1.99,0.0,0.21
T2,0.08,0.59,-2.12,-0.0
C_0,-0.3,0.0,-0.0,-1.67
