,T0,T1,T2,E_3
T0,-0.87,-0.81,0.02,0.56
T1,-0.28,-1.99,0.0,0.33
T2,-0.0,0.55,-2.19,0.63
E_3,-0.58,-1.0,-0.31,-1.68
