,T0,T1,T2,B_1
T0,-0.88,-1.58,0.03,0.21
T1,-0.09,-2.03,0.19,-0.0
T2,0.0,0.0,-2.08,0.07
B_1,-0.22,0.28,-0.22,-0.03
