,T0,T1,T2,D_0
T0,-0.83,-1.04,0.0,0.11
T1,-0.3,-1.97,0.19,-0.0
T2,0.0,-0.0,-2.11,0.29
D_0,0.12,0.8,-0.32,-1.42
