,T0,T1,T2,A_0
T0,-0.81,-1.19,0.01,0.0
T1,-0.15,-1.95,0.0,-0.76
T2,0.1,0.24,-2.06,-0.71
A_0,-0.08,-0.0,-0.71,-2.36
