,SMAD4 (M),PIK3CA (M),EGFR (M),ARID1A (M)
SMAD4 (M),-3.31,-0.09,-0.31,-0.0
PIK3CA (M),-0.01,-2.88,-0.24,0.74
EGFR (M),-0.14,-0.11,-0.9,-1.59
ARID1A (M),-0.0,0.0,-2.2,-2.71
