,SMAD4 (M),PIK3CA (M),EGFR (M),NF1 (M)
SMAD4 (M),-3.3,-0.01,-0.4,0.0
PIK3CA (M),-0.01,-2.78,-0.29,-1.06
EGFR (M),-0.01,-0.27,-0.88,-2.45
NF1 (M),0.0,-0.86,-2.46,-2.45
