,SMAD4 (M),PIK3CA (M),EGFR (M),BRAF (M)
SMAD4 (M),-3.33,-0.04,-0.2,-0.36
PIK3CA (M),-0.02,-2.81,-0.22,-0.87
EGFR (M),-0.3,-0.32,-0.88,-2.41
BRAF (M),-0.15,-0.7,-2.36,-2.62
