,T0,T1,T2,D_0
T0,-0.93,-0.23,0.04,0.14
T1,-1.28,-1.96,-0.38,1.0
T2,0.01,0.85,-2.09,-0.0
D_0,-0.01,0.46,0.14,-1.33
