,T0,T1,T2,E_1
T0,-0.8,-1.19,0.19,0.02
T1,-0.13,-2.0,-0.0,-0.09
T2,-0.0,0.86,-2.08,0.26
E_1,0.05,-0.46,0.0,-2.52
