,T0,T1,T2,A_1
T0,-0.82,-0.31,0.16,-0.13
T1,-1.02,-1.78,0.0,-0.2
T2,-0.0,0.67,-2.05,-0.2
A_1,0.03,-0.43,-1.15,-2.14
