,T0,T1,T2,C_3
T0,-0.82,-0.2,-0.11,-0.0
T1,-1.18,-1.77,-0.0,0.0
T2,0.24,0.72,-2.08,-0.18
C_3,-1.05,0.3,0.03,-0.18
