,T0,T1,T2,B_2
T0,-0.78,-0.42,0.0,-0.0
T1,-1.05,-2.12,0.0,1.1
T2,0.24,1.05,-2.15,-0.23
B_2,0.0,0.0,-0.25,-1.41
