,T0,T1,T2,E_2
T0,-0.83,-0.33,0.0,0.6
T1,-0.93,-1.9,-0.0,-0.0
T2,0.13,1.06,-2.17,0.0
E_2,0.0,-1.06,0.55,-2.22
