,T0,T1,T2,D_0
T0,-0.75,-1.02,0.01,0.0
T1,-0.3,-2.02,0.0,-0.0
T2,0.33,1.11,-2.17,-0.34
D_0,-0.0,1.32,-0.53,-1.39
