,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),ARID1A (M)
PIK3CA (M),-0.26,-0.08,-1.88,-0.2
SMAD4 (M),-0.87,-1.79,-0.05,-0.3
SMAD4/18q (Del),-1.24,-1.25,0.88,-2.69
ARID1A (M),-0.36,-0.48,-2.47,-0.9
