,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),TP53/17p (Del)
PIK3CA (M),-0.35,-0.47,-1.48,-0.0
SMAD4 (M),-0.7,-1.48,-0.8,-0.0
SMAD4/18q (Del),-1.72,-0.07,0.18,1.94
TP53/17p (Del),-2.95,-0.96,-0.98,0.25
