,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),FLT3/13q (Amp)
PIK3CA (M),0.24,-0.18,-3.15,-2.67
SMAD4 (M),-0.83,-1.26,-0.09,-1.6
SMAD4/18q (Del),-0.79,-0.43,0.55,0.05
FLT3/13q (Amp),-0.69,-0.79,0.0,0.26
