,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),CREBBP (M)
PIK3CA (M),-0.28,-0.05,-1.88,-0.14
SMAD4 (M),-0.95,-1.78,-0.06,-0.23
SMAD4/18q (Del),-1.31,-1.23,0.78,-2.24
CREBBP (M),-0.0,-0.77,-2.7,-1.65
