,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),ATM (M)
PIK3CA (M),-0.28,-0.14,-1.85,-0.04
SMAD4 (M),-0.85,-1.72,-0.21,-0.12
SMAD4/18q (Del),-1.38,-0.86,0.76,-1.52
ATM (M),-0.26,-0.11,-1.82,-1.66
