,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),null
PIK3CA (M),-0.27,-0.4,-1.81,0.0
SMAD4 (M),-0.66,-1.66,-0.39,0.0
SMAD4/18q (Del),-1.52,-0.65,0.69,0.0
null,0.0,0.0,0.0,0.0
