,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),B2M/15q (Del)
PIK3CA (M),-0.3,-0.27,-1.74,-0.0
SMAD4 (M),-0.82,-1.48,-0.56,-0.39
SMAD4/18q (Del),-1.62,-0.32,0.61,0.62
B2M/15q (Del),-1.33,-1.19,-0.0,-0.7
