,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),BRAF (M)
PIK3CA (M),-0.13,-0.02,-2.05,-0.99
SMAD4 (M),-0.83,-1.84,-0.0,-0.02
SMAD4/18q (Del),-1.35,-1.13,0.9,-2.22
BRAF (M),-0.75,-0.24,-2.0,-0.81
