,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),AMER1 (M)
PIK3CA (M),-0.27,-0.08,-1.93,-0.02
SMAD4 (M),-0.88,-1.82,-0.03,-0.02
SMAD4/18q (Del),-1.31,-1.2,0.76,-1.88
AMER1 (M),-0.36,-0.18,-1.48,-1.79
