,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),PTPRS (M)
PIK3CA (M),-0.27,-0.1,-1.85,-0.21
SMAD4 (M),-0.87,-1.77,-0.1,-0.2
SMAD4/18q (Del),-1.36,-1.07,0.82,-2.2
PTPRS (M),-0.42,-0.27,-2.53,-1.28
