,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),ID3/1p (Del)
PIK3CA (M),-0.46,-0.53,-1.23,0.18
SMAD4 (M),-0.71,-1.4,-0.99,-0.01
SMAD4/18q (Del),-2.4,-0.0,0.6,0.97
ID3/1p (Del),-2.48,-0.81,-0.0,-0.62
