,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),RNF43 (M)
PIK3CA (M),-0.24,-0.01,-1.89,-0.37
SMAD4 (M),-0.95,-1.83,-0.0,-0.0
SMAD4/18q (Del),-1.33,-1.18,0.9,-3.07
RNF43 (M),-0.61,-0.0,-2.46,-0.92
