,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),FAT1 (M)
PIK3CA (M),-0.34,-0.15,-1.6,-0.0
SMAD4 (M),-0.86,-1.73,-0.14,-0.9
SMAD4/18q (Del),-1.57,-1.13,0.8,-1.93
FAT1 (M),0.0,-0.0,-3.25,-1.65
