,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),PTEN (M)
PIK3CA (M),-0.3,-0.24,-1.76,-0.0
SMAD4 (M),-0.8,-1.77,-0.15,-0.0
SMAD4/18q (Del),-1.42,-0.93,0.77,-1.78
PTEN (M),0.0,-0.0,-1.75,-1.72
