,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),RAC1/7p (Amp)
PIK3CA (M),-0.19,-0.97,-1.3,-0.65
SMAD4 (M),-0.45,-1.39,-1.03,-0.13
SMAD4/18q (Del),-1.85,-0.0,0.68,-0.01
RAC1/7p (Amp),-2.26,-2.08,-0.58,0.32
