,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),CTNNB1 (M)
PIK3CA (M),-0.47,-0.85,-1.05,-0.0
SMAD4 (M),-0.4,-1.74,-0.31,-0.1
SMAD4/18q (Del),-2.55,-0.54,0.83,-1.88
CTNNB1 (M),-0.54,-0.0,-1.16,-1.69
