,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),TGFBR2 (M)
PIK3CA (M),-0.24,-0.12,-1.91,-0.47
SMAD4 (M),-0.85,-1.66,-0.24,-1.22
SMAD4/18q (Del),-1.37,-1.03,0.8,-2.57
TGFBR2 (M),-0.42,-0.76,-3.02,-1.61
