,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),B2M (M)
PIK3CA (M),-0.24,-0.04,-2.11,0.0
SMAD4 (M),-0.93,-1.75,-0.13,-0.23
SMAD4/18q (Del),-1.14,-1.11,0.76,-2.22
B2M (M),0.01,-0.75,-3.2,-1.69
