,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),ASXL1/20q (Amp)
PIK3CA (M),-0.19,-1.23,-0.67,-0.89
SMAD4 (M),-0.43,-1.39,-0.82,-0.24
SMAD4/18q (Del),-2.42,0.0,0.49,0.52
ASXL1/20q (Amp),-3.35,-3.1,-0.0,0.97
