,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),TP53 (M)
PIK3CA (M),0.12,-0.97,-0.8,-1.3
SMAD4 (M),-0.54,-1.26,-0.93,-0.32
SMAD4/18q (Del),-2.11,-0.0,0.76,-0.11
TP53 (M),-2.64,-2.24,-0.18,1.4
