,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),KMT2C (M)
PIK3CA (M),-0.3,-0.03,-1.79,-0.11
SMAD4 (M),-0.96,-1.68,-0.2,-0.9
SMAD4/18q (Del),-1.4,-1.0,0.78,-2.0
KMT2C (M),-0.03,-0.04,-2.93,-1.71
