,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),MYC/8q (Amp)
PIK3CA (M),-0.19,-0.69,-1.47,-0.47
SMAD4 (M),-0.57,-1.38,-0.93,-0.19
SMAD4/18q (Del),-1.7,-0.01,0.48,0.52
MYC/8q (Amp),-3.5,-1.73,-2.68,0.76
