,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),KRAS (M)
PIK3CA (M),-0.33,-0.64,-0.85,-0.78
SMAD4 (M),-0.27,-1.62,-0.0,-1.08
SMAD4/18q (Del),-2.92,-0.83,1.19,-3.49
KRAS (M),-0.0,0.01,-0.01,-0.24
