,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),APC (M)
PIK3CA (M),-0.29,-0.76,-1.65,-0.0
SMAD4 (M),-0.48,-1.22,-0.97,-0.38
SMAD4/18q (Del),-1.66,-0.01,0.67,-0.01
APC (M),-1.9,-2.3,-0.85,1.52
