,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),SOX9 (M)
PIK3CA (M),-0.25,-0.08,-2.05,-0.0
SMAD4 (M),-0.9,-1.65,-0.32,-0.12
SMAD4/18q (Del),-1.28,-0.73,0.75,-0.84
SOX9 (M),-1.09,-0.93,-2.3,-0.9
