,T0,T1,T2,B_2
T0,-0.98,-0.26,-0.04,-0.14
T1,-0.28,-2.0,-0.0,0.35
T2,-0.01,0.12,-2.09,-0.09
B_2,-0.19,-0.0,0.11,-1.54
