,T0,T1,T2,C_0
T0,-0.95,-0.26,-0.03,-0.45
T1,-0.22,-1.96,0.08,0.0
T2,0.0,0.07,-2.09,-0.09
C_0,-0.65,0.0,0.01,-1.69
