,T0,T1,T2,E_0
T0,-1.1,0.15,0.0,0.74
T1,-0.9,-1.82,-0.24,-0.0
T2,-0.35,0.36,-2.16,1.03
E_0,-0.88,-0.16,-0.05,-2.36
