,T0,T1,T2,A_1
T0,-1.02,0.17,-0.17,-0.13
T1,-0.83,-1.81,-0.45,-0.07
T2,0.06,0.5,-2.11,-1.11
A_1,-0.26,-0.29,-0.3,-2.14
