,SMAD4 (M),PIK3CA (M),MET (M),BRAF (M)
SMAD4 (M),-3.37,-0.06,-0.11,-0.3
PIK3CA (M),-0.05,-2.85,-0.2,-0.84
MET (M),-0.11,-0.21,-3.1,-1.02
BRAF (M),-0.31,-0.84,-1.01,-2.88
