,SMAD4 (M),PIK3CA (M),MET (M),EGFR/7p (Amp)
SMAD4 (M),-3.23,-0.05,-0.03,-0.69
PIK3CA (M),-0.02,-2.71,-0.09,-0.78
MET (M),-0.1,-0.19,-3.08,-0.19
EGFR/7p (Amp),-0.48,-0.59,-0.18,-0.81
