,SMAD4 (M),PIK3CA (M),MET (M),MCL1/1q (Amp)
SMAD4 (M),-3.24,-0.04,-0.2,-0.47
PIK3CA (M),-0.02,-2.73,-0.27,-0.53
MET (M),-0.03,-0.15,-2.75,-2.07
MCL1/1q (Amp),-0.57,-0.64,-2.04,-0.52
