,SMAD4 (M),PIK3CA (M),MET (M),APC (M)
SMAD4 (M),-3.39,-0.05,-0.1,-0.0
PIK3CA (M),-0.05,-2.87,-0.19,-0.49
MET (M),-0.11,-0.2,-3.12,-0.47
APC (M),-0.0,-0.5,-0.47,-3.44
