,TP53 (M),SMAD4 (M),SMAD4/18q (Del),FLT3/13q (Amp)
TP53 (M),1.12,-0.76,-0.16,-0.44
SMAD4 (M),-1.43,-0.83,-0.0,-1.17
SMAD4/18q (Del),-0.0,-0.0,0.43,-0.0
FLT3/13q (Amp),-0.0,-0.59,-0.21,0.32
