,TP53 (M),SMAD4 (M),SMAD4/18q (Del),TP53/17p (Del)
TP53 (M),1.1,-1.65,0.0,-0.87
SMAD4 (M),-0.76,-1.33,-0.32,-0.0
SMAD4/18q (Del),-0.45,0.0,0.13,2.01
TP53/17p (Del),0.84,-1.31,-1.15,-0.5
