,TP53 (M),SMAD4 (M),SMAD4/18q (Del),CARD11 (M)
TP53 (M),1.02,-1.2,-0.0,-1.93
SMAD4 (M),-1.13,-1.08,-0.48,-0.88
SMAD4/18q (Del),-0.24,-0.0,0.6,-2.99
CARD11 (M),-0.74,-1.28,-1.19,-2.32
