,TP53 (M),SMAD4 (M),SMAD4/18q (Del),NF1 (M)
TP53 (M),1.1,-1.08,-0.26,-1.81
SMAD4 (M),-1.33,-1.13,-0.13,-1.22
SMAD4/18q (Del),-0.0,-0.2,0.49,-1.79
NF1 (M),-1.1,-0.55,-1.18,-2.06
